"Measure","Value","MoE"
"Drove alone","29.3%","± 1.6%"
"Carpool","4.1%","± 0.8%"
"Public transportation","26.6%","± 1.6%"
"Walked","10.7%","± 1.2%"
"Bicycle","4.0%","± 0.6%"
"Taxicab, motorcycle, or other means","2.4%","± 0.5%"
"Worked from home","22.9%","± 1.2%"
