"Measure","Value","MoE"
"High school or equivalent degree","24.0%","± 0.2%"
"Some college, no degree","14.1%","± 0.2%"
"Associate's degree","8.7%","± 0.1%"
"Bachelor's degree","22.8%","± 0.2%"
"Graduate or professional degree","18.4%","± 0.2%"
