"Measure","Value","MoE"
"Drove alone","48.7%","± 0.3%"
"Carpool","6.7%","± 0.2%"
"Public transportation","24.2%","± 0.2%"
"Walked","5.8%","± 0.2%"
"Bicycle","0.9%","± 0.1%"
"Taxicab, motorcycle, or other means","2.0%","± 0.1%"
"Worked from home","11.8%","± 0.2%"
