"Measure","Value","MoE"
"High school or equivalent degree","14.3%","± 1.2%"
"Some college, no degree","10.2%","± 1.1%"
"Associate's degree","2.0%","± 0.5%"
"Bachelor's degree","27.1%","± 1.3%"
"Graduate or professional degree","38.3%","± 1.4%"
